# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1664954596.752748250961304,0.00442,0.00036,0.00015,0.00223,0.00230,0.00352,0.01297
1664954596.852737188339233,0.00436,0.00036,0.00015,0.00246,0.00001,0.00247,0.00981
1664954596.952758789062500,0.00507,0.00036,0.00059,0.00239,0.01196,0.00221,0.02258
1664954597.052752733230591,0.00613,0.00035,0.00011,0.00282,0.00056,0.00223,0.01221
1664954597.152762174606323,0.00410,0.00043,0.00018,0.00382,0.00021,0.00269,0.01143
1664954597.252764701843262,0.00865,0.00035,0.00012,0.00250,0.00000,0.00219,0.01382
1664954597.352770566940308,0.00508,0.00035,0.00071,0.00209,0.00013,0.00218,0.01053
1664954597.452773094177246,0.00867,0.00056,0.00041,0.00536,0.00000,0.00419,0.01918
1664954597.552769422531128,0.00656,0.00057,0.00265,0.00256,0.00965,0.00250,0.02450
1664954597.652774572372437,0.00469,0.00035,0.00009,0.00343,0.00059,0.00259,0.01175
1664954597.752779245376587,0.00414,0.00034,0.00019,0.00331,0.00049,0.00279,0.01126
1664954597.852783918380737,0.00413,0.00035,0.00018,0.00329,0.00011,0.00278,0.01084
1664954597.952786445617676,0.00444,0.00038,0.00013,0.00218,0.00053,0.00218,0.00984
1664954598.052789211273193,0.00772,0.00034,0.00116,0.00250,0.00006,0.00291,0.01469
1664954598.152788400650024,0.00431,0.00036,0.00007,0.00186,0.00264,0.00276,0.01199
1664954598.252788066864014,0.00421,0.00037,0.00110,0.00164,0.00052,0.00211,0.00995
1664954598.352789878845215,0.00497,0.00037,0.00005,0.00194,0.00628,0.00233,0.01593
1664954598.452775478363037,0.00398,0.00039,0.00032,0.00212,0.00021,0.00296,0.00997
1664954598.552788734436035,0.00407,0.00036,0.00003,0.00227,0.00013,0.00213,0.00900
1664954598.652794361114502,0.00771,0.00036,0.00069,0.00230,0.00013,0.00281,0.01400
1664954598.752811431884766,0.00446,0.00037,0.00056,0.00200,0.00245,0.00353,0.01337
1664954598.852809906005859,0.00468,0.00038,0.00028,0.00204,0.00000,0.00229,0.00967
1664954598.952808618545532,0.00570,0.00052,0.00008,0.00243,0.00024,0.00301,0.01198
1664954599.052801132202148,0.00478,0.00033,0.00096,0.00224,0.00038,0.00287,0.01156
1664954599.152807950973511,0.00458,0.00032,0.00080,0.00192,0.00335,0.00219,0.01316
1664954599.252815008163452,0.01049,0.00037,0.00002,0.00198,0.00000,0.00266,0.01552
1664954599.352810144424438,0.00488,0.00058,0.00038,0.00375,0.00105,0.00327,0.01391
1664954599.452826023101807,0.00549,0.00037,0.00034,0.00166,0.00029,0.00240,0.01055
1664954599.552834749221802,0.00499,0.00062,0.00044,0.00152,0.00227,0.00257,0.01241
1664954599.652832984924316,0.00440,0.00034,0.00029,0.00232,0.00000,0.00321,0.01056
1664954599.752836942672729,0.00444,0.00036,0.00019,0.00138,0.00720,0.00348,0.01706
1664954599.852846384048462,0.00614,0.00036,0.00045,0.00191,0.00000,0.00240,0.01126
1664954599.952843904495239,0.00668,0.00042,0.00027,0.00153,0.00079,0.00238,0.01206
1664954600.052827358245850,0.00891,0.00102,0.00017,0.00148,0.00001,0.00268,0.01427
1664954600.152830362319946,0.00595,0.00036,0.00015,0.00117,0.00014,0.00247,0.01025
1664954600.252826690673828,0.00690,0.00051,0.00012,0.00152,0.00059,0.00259,0.01223
1664954600.352822065353394,0.00578,0.00032,0.00031,0.00098,0.00599,0.00221,0.01559
1664954600.452823638916016,0.00640,0.00034,0.00025,0.00159,0.00014,0.00356,0.01227
1664954600.552824497222900,0.00513,0.00039,0.00059,0.00295,0.00028,0.00379,0.01313
1664954600.652826070785522,0.00404,0.00033,0.00060,0.00118,0.00031,0.00228,0.00874
1664954600.752829313278198,0.00552,0.00035,0.00051,0.00131,0.00157,0.00291,0.01218
1664954600.852825164794922,0.00426,0.00035,0.00003,0.00125,0.00001,0.00256,0.00846
1664954600.952805042266846,0.00492,0.00033,0.00068,0.00108,0.00133,0.00261,0.01095
1664954601.052816867828369,0.00555,0.00120,0.00103,0.00222,0.00000,0.00243,0.01243
1664954601.152802228927612,0.00908,0.00036,0.00012,0.00136,0.01183,0.00241,0.02516
1664954601.252804517745972,0.00445,0.00033,0.00050,0.00206,0.00000,0.00283,0.01017
1664954601.352803945541382,0.00737,0.00060,0.00045,0.00132,0.00092,0.00215,0.01282
1664954601.452803373336792,0.00870,0.00034,0.00011,0.00110,0.00044,0.00250,0.01318
1664954601.552803993225098,0.00469,0.00036,0.00012,0.00119,0.00331,0.00303,0.01270
1664954601.652802467346191,0.00633,0.00033,0.00035,0.00120,0.00011,0.00214,0.01045
1664954601.752804994583130,0.00572,0.00032,0.00034,0.00117,0.00040,0.00231,0.01026
1664954601.852804422378540,0.00445,0.00034,0.00025,0.00101,0.00025,0.00241,0.00870
1664954601.952803850173950,0.00493,0.00038,0.00019,0.00127,0.00181,0.00308,0.01166
1664954602.052794933319092,0.00487,0.00034,0.00128,0.00276,0.00099,0.00409,0.01433
1664954602.152779817581177,0.00688,0.00034,0.00078,0.00131,0.00052,0.00247,0.01230
1664954602.252773761749268,0.00467,0.00032,0.00006,0.00125,0.00513,0.00262,0.01406
1664954602.352773666381836,0.00649,0.00033,0.00007,0.00253,0.00163,0.00229,0.01334
1664954602.452770233154297,0.00550,0.00040,0.00063,0.00284,0.00015,0.00287,0.01239
1664954602.552761554718018,0.00543,0.00035,0.00128,0.00177,0.00795,0.00290,0.01967
1664954602.652761697769165,0.00769,0.00040,0.00008,0.00206,0.00049,0.00295,0.01368
1664954602.752758502960205,0.00460,0.00033,0.00022,0.00174,0.00111,0.00248,0.01048
1664954602.852760314941406,0.00600,0.00048,0.00190,0.00190,0.00005,0.00374,0.01409
1664954602.952756643295288,0.00806,0.00035,0.00015,0.00120,0.00021,0.00268,0.01264
1664954603.052754878997803,0.00466,0.00039,0.00016,0.00129,0.00055,0.00243,0.00948
1664954603.152743816375732,0.00566,0.00037,0.00029,0.00113,0.00091,0.00235,0.01072
1664954603.252746343612671,0.00802,0.00036,0.00043,0.00097,0.00018,0.00264,0.01261
1664954603.352748870849609,0.00528,0.00032,0.00026,0.00087,0.00019,0.00246,0.00938
1664954603.452748298645020,0.00671,0.00046,0.00014,0.00093,0.00005,0.00329,0.01158
1664954603.552732229232788,0.00428,0.00036,0.00022,0.00089,0.00073,0.00256,0.00904
1664954603.652726650238037,0.00464,0.00037,0.00006,0.00101,0.00000,0.00242,0.00850
